순번,카테고리,질문,답변
1,보증수리,지프(Jeep) 차량의 신차 보증기간은 몇 년인가요?,"2022년식 이후 출고 차량 기준 3년 또는 100,000km(선도래 기준) 보증이 적용되며, PHEV(4xe) 모델의 고전압 배터리는 8년 또는 160,000km 보증됩니다."
2,긴급출동,지프 24시간 긴급출동 서비스 전화번호는 몇 번인가요?,"지프 고객지원센터(080-365-2470)로 전화하시면 365일 24시간 긴급 견인, 배터리 충전, 비상 급유(연 2회, 회당 10L 한정) 서비스를 받으실 수 있습니다."
3,정비예약,서비스센터 정비 예약 시 유의사항이 있나요?,"원활한 정비를 위해 방문 예정일 최소 3일 전 예약을 권장하며, 일정 변경 및 취소는 예약일 하루 전까지 해당 서비스센터로 연락 주셔야 합니다."
4,커넥티드,Jeep Connect(지프 커넥티드) 서비스 관련 문의는 어디서 받나요?,"커넥티드 서비스 전용 고객센터(080-365-0303, 평일 09:00~18:00)를 통해 차량 원격 제어, 앱 연동 및 가입 문의를 해결하실 수 있습니다."
5,구매상담,지프 시승 신청 및 차량 구매 상담은 어떻게 진행하나요?,구매 상담 전용 센터(080-365-0500) 또는 지프 공식 홈페이지의 '시승 신청' 메뉴를 통해 가까운 전시장의 딜러와 1:1 상담 및 시승을 예약하실 수 있습니다.
6,멤버십,지프 웨이브(Jeep Wave) 멤버십 혜택에는 어떤 것들이 있나요?,"5년간 무상 정기 점검, 소모품 교환 쿠폰 제공, 24시간 긴급 출동 지원, 전용 이벤트 및 오프로드 캠프 초청 혜택이 포함되어 있습니다."
7,오프로드,랭글러(Wrangler) 루프 탈부착 및 도어 탈거 시 유의점은 무엇인가요?,"도어 탈거 시 전용 렌치 도구를 사용하고 사이드 미러 연동 상태를 확인해야 하며, 하드탑 재장착 시 누수 방지를 위해 고무 패킹 청소 및 정확한 래치 잠금이 필요합니다."
8,4xe(PHEV),지프 4xe 플러그인 하이브리드 충전은 일반 완속 충전기에서 가능한가요?,"네, AC 완속 충전기(5핀 콤보 타입1)를 통해 충전할 수 있으며, 가정용 220V 이동형 충전기로도 충전이 가능합니다."
9,부품/용품,지프 순정 모파(Mopar) 악세사리 및 튜닝 부품 구매 방법은?,"공식 지프 서비스 센터 내 모파 부품 창구에서 정품 오프로드 튜닝 용품, 윈치, 휠, 범퍼 등을 구매 및 설치하실 수 있습니다."
10,소모품,지프 차량의 엔진오일 교환 주기 및 권장 오일 스펙은 어떻게 되나요?,"주행 환경에 따라 10,000~15,000km 또는 1년마다 교환을 권장하며, 모파(Mopar) 인증 순정 가솔린/디젤 전용 합성 오일을 사용해야 합니다."
11,사고수리,지프 전용 알루미늄 바디 수리 서비스센터는 어디에 있나요?,그랜드 체로키 등 알루미늄 바디 적용 모델은 전용 용접기 및 정밀 판금 장비를 갖춘 지프 공식 인증 사고수리 센터에서 작업이 진행됩니다.
12,정비/점검,지프 사륜구동(4WD) 시스템 점검 및 구동 오일 교환 주기는?,"트랜스퍼 케이스 및 디퍼렌셜 오일은 주행거리 40,000~60,000km마다 점검하고, 험로 주행 및 도하 작업이 많은 경우 더 자주 교체해 주어야 합니다."
13,차량관리,지프 차량으로 도하(Water Fording) 주행 후 점검해야 할 사항은?,"도하 후 즉시 하부 세차를 실시하고, 디퍼렌셜 오일 내 수분 유입 여부, 에어클리너 상태, 브레이크 패드 건조 작업을 확인해야 합니다."
14,보증수리,지프 보증 연장 프로그램(Extended Warranty) 구매 요건은?,"신차 출고 후 기본 보증 만료 전까지 가입 가능하며, 최대 5년 또는 140,000km까지 무상 보증 수리 범위를 연장하실 수 있습니다."
15,인포테인먼트,유커넥트(Uconnect) 시스템 소프트웨어 및 지도 업데이트 방법은?,"서비스 센터 방문을 통해 최신 펌웨어 업데이트를 받으실 수 있으며, 최신 Uconnect 5 적용 차량은 OTA 무선 업데이트를 지원합니다."
16,구매/금융,지프 파이낸셜 서비스(Jeep Financial Services) 금융 상품 문의는?,"공식 파이낸셜 상담 센터를 통해 저금리 할부, 리스, 장기렌트 프로그램 및 유예 할부 조건에 대한 안내를 받으실 수 있습니다."
17,중고차,지프 인증 중고차(Jeep Certified Pre-Owned) 프로그램의 조건은?,"125가지 이상의 엄격한 성능 점검을 완료하고, 출고 5년/10만km 이내의 무사고 차량에 한해 1년/2만km 연장 보증 혜택을 제공합니다."
18,정비/점검,지프 타이어 위치 교환 주기는 어떻게 되나요?,"4WD 차량 특성상 타이어의 균일한 마모를 위해 매 10,000km 주행 시마다 타이어 대각선 위치 교환을 권장합니다."
19,고객지원,지프 오너 이벤트 및 덕킹(Jeep Ducking) 문화는 무엇인가요?,"지프 오너들 사이에서 서로의 차량 위에 고무 오리를 올려놓으며 친목을 다지는 문화로, 지프 코리아 공식 오너 행사 참여 신청은 지프 웨이브 앱에서 가능합니다."
20,부품/용품,사제 리프트업 튜닝이나 오프로드 타이어 장착 시 보증에 영향이 있나요?,승인되지 않은 서스펜션 개조나 과도한 타이어 차고 변경으로 발생한 구동계 및 현가장치 고장은 보증수리 대상에서 제외될 수 있습니다.
