순번,카테고리,질문,답변
1,경고등 & 알림,자주 묻는 경고등 정보,"각종 경고등에 대한 정보는 사용자 매뉴얼이나 마이폭스바겐 경고등 안내 페이지를 확인 하세요.* My VW 앱 → 전체메뉴 → 경고등차량 경고등 확인하기* 모바일에서 원활하게 지원이 되며, My VW 앱을 통해서도 확인하실 수 있습니다."
2,경고등 & 알림,"타이어 공기압 경고등이 떴는데 타이어 상태에 이상이 없는데 왜 그런가요?
이 경우 타이어 공기압 경고등 리셋(재설정)은 어떻게 하나요?","타이어 공기압 경고등은 공기압이 설정된 기준치 보다 낮은 것으로 인식 되면 점등이 됩니다.폭스바겐 차량의 타이어 공기압은 각 바퀴의 회전수를 감지하여, 회전수가 많거나 일정하지 않은 경우에 타이어에 바람이 빠진것으로 인식하여 경고등을 점등 시키게 됩니다. 따라서 공기압의 변동 외에 바퀴의 회전수를 일정하지 않게 하는 요인이 발생할 경우 타이어에 이상이 없어도 경고등이 점등 될 수 있습니다.차량 경고등 확인 하기* 모바일에서 원활하게 지원이 되며, My VW 앱을 통해서도 확인하실 수 있습니다.경고등이 점등된 경우 차량을 정차 한 후 타이어에 이상이 없는지 확인 후 이상이 없을 경우 경고등 리셋을 하실 수 있습니다.자세한 설정법은 아래 링크를 통해 영상으로 확인하세요.타이어 공기압 경고등 조치방법* 모바일에서 원활하게 지원이 되며, My VW 앱을 통해서도 확인하실 수 있습니다.* 공기압 경고등 리셋(재설정) 방법은 차종별, 생산년도별로 상이할 수 있으니 자세한 내용은 반드시 고객님 차량의 사용자 매뉴얼을 참고해 주시고, 증상이 해결되지 않을 경우 폭스바겐 공식 서비스 센터로 연락 후 방문 하시기 바랍니다."
3,차량 기능 & 조작,후진 시 미러다운 기능이 작동되지 않습니다.,"사이드미러 조작 스위치를 R에 위치한 상태에서 기어레버를 후진으로 놓으면 설정된 조건에 따라 미러다운 기능이 작동하며, 15km/h 이상의 속도로 전진 주행 하거나, 미러 조작 스위치가 R에서 다른 위치로 바뀌게 되면 원래 위치로 돌아오게 됩니다.미러다운 작동 시 미러의 위치를 설정하고자 할 경우 시동을 켜고 사이드미러 조작 스위치를 R에 위치 시킵니다.안전을 위해 주차브레이크를 켠 상태로 기어레버를 후진으로 놓고 사이드미러 조작 버튼을 조정하여 설정이 가능합니다.자세한 설정법은 아래 링크를 통해 영상으로 확인하세요.후진 시 미러다운 기능 설정법* 모바일에서 원활하게 지원이 되며, My VW 앱을 통해서도 확인하실 수 있습니다."
4,차량 기능 & 조작,차량 스마트 키 리모컨 배터리가 방전되었는데 시동을 걸 수 있는 방법이 없을까요?,"방전된 차량의 스마트키 배터리를 교체 하실 수 없는 상황에서는 브레이크 페달을 밟고 스티어링 휠 (차량 핸들) 아래의 컬럼 우측에 키 또는 중앙 센터 콘솔 앞 오목하게 들어간 위치에 차량 키를 올려두고 시동을 걸수 있는 방법이 있습니다.모델별로 조치방법이 다를 수 있으며, 자세한 조치방법은 아래 링크를 통해 영상으로 확인하세요.비상키로 차량 문 열기 & 키 배터리 없을 때 시동걸기* 모바일에서 원활하게 지원이 되며, My VW 앱을 통해서도 확인하실 수 있습니다."
5,차량 기능 & 조작,"운전자 보조시스템(ACC, 레인어시스트, 프론트 어시스트, 트래블 어시스트 등)이 가끔 정상적으로 작동하지 않는 경우가 있는데 왜 그런가요?","운전자 보조 시스템은 차량에 부착된 여러 개의 카메라와 센서들이 작동하여 운전자의 편의나 안전을 보조하기 위한 시스템입니다.이러한 보조 시스템은 센서의 오염 상태, 도로의 상황, 기상 상황, 센서의 손상, 물체와의 거리나 각도 등 여러 변수에 따라 영향을 받게 되므로 물리적 한계가 있을 수 있으며 운전자의 조작없이 시스템에만 의존하는 운행은 안전을 보장 할 수 없습니다.따라서 고객님 차량의 사용자 매뉴얼을 통해 각 보조 시스템의 기능과 특성을 잘 이해하고 바른 방법으로 사용 하시기를 당부 드립니다.운전자 보조 시스템의 오작동 발생 빈도가 높은 경우 폭스바겐 공식 서비스 센터로 방문하셔서 점검을 받으시기 바랍니다.보조시스템 사용법에 대한 안내는 아래 영상을 참고해주세요IQ Drive: 운전자 주행 보조시스템* 모바일에서 원활하게 지원이 되며, My VW 앱을 통해서도 확인하실 수 있습니다."
6,소모품 & 정비,요소수 (AdBlue) 는 언제 보충을 하게 되나요? 보충을 하지 않을 경우 어떤 문제가 생기나요?,"요소수의 보충 시점은 일정한 주기가 있지는 않습니다.같은 차종이나 동일한 차량이라도 운행 패턴이나 주행 환경에 따라 보충 필요 시점은 많은 차이가 있을 수 있으니 계기판의 메뉴에서 차량의 예상 보충 시점을 확인 하시기 바랍니다. (단, 주행 가능 거리 2,400km 부터 표시가 나타남)요소수 경고등 점등 시 반드시 보충이 필요하며 만약 요소수 레벨이 너무 낮아질 경우 차량의 시동이 불가 (점프 시동을 포함) 하오니 주행거리가 1,000 km가 되기 전에는 반드시 보충을 하시기 바랍니다. 요수수 관련 경고등에 대한 추가 정보는 사용자 매뉴얼이나 My VW 앱 내의 경고등 안내 페이지를 확인 하세요. 차량 경고등 확인 하기"
7,경고등 & 알림,"계기판에 ""Inspection"" / ""Oil Service"" / “Service Now”/ “서비스 만료” 와 같은 알림등이 뜨는데 뭔가요?","해당 경고등은 차량에 설정된 서비스 주기 또는 엔진오일의 경우 고객님 차량의 오일 상태를 체크하여 정기점검 또는 엔진 오일 서비스 시기를 안내하는 것이며 곧 서비스나 인스펙션이 예정된 경우라면, 시동을 켰을 때 서비스 알림 메시지가 나타나게 됩니다.명시된 킬로미터나 기간은 서비스가 요구되는 시점까지의 주행 거리나 주행 기간을 의미하는 것입니다. 따라서 잔여 기간이나 주행거리가 만료 되기 전에 폭스바겐 공식 서비스 센터로 방문하여 서비스를 받으시기 바랍니다.폭스바겐에서는 편리한 예약 서비스를 위해 My VW 앱을 통해 소모성 정비에 대한 온라인 예약 서비스를 제공하고 있습니다.온라인 서비스 예약 바로가기* 모바일에서 원활하게 지원이 되며, My VW 앱을 통해서도 확인하실 수 있습니다."
8,소모품 & 정비,소모품 주기표 상에 있는 교환 주기에 맞춰서 서비스를 받으면 되나요? 필터와 같은 일부 서비스의 교환 주기는 너무 긴 것 같습니다.,국내시장에 판매되는 차량의 소모품 권장 교체 주기는 사용되는 각 소모품들의 제품 사양에 따라 유럽시장 기준으로 일반적인 운행조건하에서 서비스가 필요한 조건으로 반영되어 안내가 되고 있습니다.권장 교체 서비스 주기는 각 소모품들의 사용가능한 한계 수명으로 보시면 되며 국가 또는 지역별 주행 환경이나 운전자의 운행 방식 그리고 고객님들의 필요에 따라 일부 서비스는 권장 주기보다 미리 실시될 수도 있습니다. 예를 들어 먼지가 많은 계절이나 장마철과 같이 비가 많이 오는 동안에는 공기정화 필터와 와이퍼를 미리 교체하시면 쾌적하고 안전한 운행을 하시는데 더욱 도움이 될 수 있습니다.
9,차량 기능 & 조작,"비 오는 날, 후진 시 물체가 없는데도 파킹 센서 부저가  울릴 때가 있습니다. 왜 그런가요?","파킹 센서는 초음파센서로서 센서 부위에 맺힌 빗방울을 물체로 인식하여 경고음이 작동될 때가 간혹 있습니다. 이것은 일시적인 현상이며, 센서 부위에 빗방울이 제거되면 다시 정상적으로 작동됩니다."
10,소모품 & 정비,에어컨을 작동시키거나 끄면 악취가 납니다.,"에어컨 사용 시 발생하는 물이 다 배출되지 않고 에어컨 증발기에 남아 곰팡이가 발생하여 나는 냄새입니다. 예방을 위해서는 평소에 에어컨을 사용하고 시동을 끄기 몇 분 전에 에어컨(A/C버튼)을 끄고 송풍을 해 주시면 에어컨 내부가 건조되어 곰팡이의 번식을 억제할 수 있습니다. 아울러 실내 공기 정화 필터를 주기적으로 교환해 주는 것이 좋습니다.일단 곰팡이가 발생하면 에어컨 증발기를 깨끗이 청소하는 것이 가장 확실한 방법이므로 폭스바겐 공식 서비스 센터에 방문하셔서 서비스를 받으실 것을 권장 드립니다.폭스바겐에서는 편리한 예약 서비스를 위해 My VW 앱을 통해 소모성 부품 정비에 대한 온라인 예약 서비스를 제공하고 있습니다.온라인 서비스 예약 바로가기* 모바일에서 원활하게 지원이 되며, My VW 앱을 통해서도 확인하실 수 있습니다."
