순번,카테고리,질문,답변
1,정비/점검,르노코리아 정비소 방문 시 예약이 필수인가요?,"엔진오일 교환, 에어컨 필터 교체 등 간단한 경정비는 당일 방문 정비가 가능합니다. 단, 고난도 정비나 부품 수급이 필요한 수리, 마스터(Master) 차량 정비는 사전 예약이 권장됩니다."
2,보증수리,르노코리아 차량의 신차 일반 보증기간은 어떻게 되나요?,"기본 신차 보증기간은 차종 및 항목에 따라 차이가 있으며, 일반 차체 및 부품은 3년 또는 6만km, 차체 및 동력전달 계통은 3년 또는 6만km가 적용되며 보증 연장 상품 구매 시 최대 5년/10만km까지 연장 가능합니다."
3,긴급출동,주행 중 고장이나 방전 발생 시 긴급출동은 어떻게 요청하나요?,"르노코리아 엔젤센터(080-300-3000)로 24시간 전화 접수가 가능하며, 배터리 충전, 비상 급유, 타이어 교체, 긴급 견인 서비스를 받으실 수 있습니다."
4,커넥티드,MY Renault 앱에서 차량 원격 제어가 되지 않는데 어떻게 하나요?,"차량의 통신 상태(음영 지역 여부)를 확인하시고, 앱 로그아웃 후 재로그인을 진행해 보세요. 지속적인 오류 시 커넥티드 서비스 고객센터로 문의 바랍니다."
5,부품/용품,르노코리아 순정 액세서리 구매 및 장착은 어디서 하나요?,공식 액세서리 몰(mall.renaultkoream.com) 또는 전국 공식 정비 네트워크 및 전시장에서 순정 용품 구매 및 장착 상담을 받으실 수 있습니다.
6,하이브리드,E-Tech 하이브리드 시스템의 구동 배터리 보증기간은 얼마인가요?,E-Tech 하이브리드 차종의 고전압 배터리 보증기간은 8년 또는 16만km(선도래 기준)로 넉넉하게 보증합니다.
7,정비/점검,엔진오일 및 소모품 교환 주기는 어떻게 확인하나요?,"차량 내 계기판 디스플레이의 정비 주기 알림이나 MY Renault 앱의 차계부 기능을 통해 확인하실 수 있으며, 일반적으로 1년 또는 15,000km 마다 점검을 권장합니다."
8,구매/시승,르노코리아 차량 시승 신청은 어떻게 진행하나요?,"르노코리아 공식 홈페이지의 '시승 신청' 메뉴에서 희망하는 차종, 전시장, 날짜를 선택하시면 담당 카매니저가 안내 연락을 드립니다."
9,서비스네트워크,전국 지정 정비업무소(ESC/ASC)와 협력점의 차이는 무엇인가요?,"직영 서비스센터(ESC)는 고난도 수리 및 판금/도장을 포함한 전반 정비를 담당하며, 협력 정비업소(ASC)는 경정비 및 일반 점검 중심의 편리한 접근성을 제공합니다."
10,커넥티드,openR link 인포테인먼트의 내비게이션 지도 업데이트는 어떻게 하나요?,openR link 시스템은 OTA(무선 업데이트)를 지원하여 별도 방문 없이 자동 최신 지도 업데이트가 수행됩니다.
11,사고수리,사고 발생 시 르노코리아 전용 사고 수리 지원 서비스가 있나요?,"엔젤센터(080-300-3000)를 통해 공식 직영 서비스센터로의 견인 안내 및 입고 지원, 사고 수리 견적 안내를 받으실 수 있습니다."
12,금융/멤버십,르노코리아 케어 플러스(보증연장) 프로그램 가입 요건은 어떻게 되나요?,"신차 출고 후 일정 기간/주행거리 이내 차량에 한해 가입 가능하며, 가입 시 보증기간 연장 및 소모품 할인 쿠폰 혜택이 제공됩니다."
13,차량관리,타이어 공기압 경고등(TPMS)이 켜졌을 때 조치 방법은 무엇인가요?,"스페어 타이어 또는 공기압 키트로 공기압을 적정 수치로 맞춘 뒤, 주행 후 계기판 메뉴에서 TPMS 리셋을 진행하시면 경고등이 해제됩니다."
14,부품/용품,와이퍼 고무나 에어컨 필터 셀프 교체가 가능한가요?,"MY Renault 앱 및 매뉴얼 책자에 셀프 교체 방법이 안내되어 있으며, 순정 부품은 부품 대리점이나 정비소에서 별도 구매 가능합니다."
15,정비/점검,브레이크 패드 교환 시기는 언제인가요?,"일반적으로 주행거리 30,000~40,000km마다 점검하며, 제동 시 소음이 발생하거나 페달이 깊게 눌릴 경우 즉시 정비소를 방문해야 합니다."
16,중고차,중고차 구매 후 이전 차주 커넥티드 계정 해제는 어떻게 하나요?,"명의 이전 서류(자동차등록증, 신분증)를 지참하여 엔젤센터 문의 또는 공식 정비소 방문을 통해 명의 변경 및 계정 초기화를 요청할 수 있습니다."
17,보증수리,사제 블랙박스나 사제 용품 장착 시 보증수리에 불이익이 있나요?,사제 용품 설치로 인한 배선 개조나 전기적 결함 발생 시 해당 관련 부품에 한해 무상 보증이 제한될 수 있으므로 주의가 필요합니다.
18,구매/시승,신차 출고 대기 기간 확인은 어디서 가능한가요?,계약하신 담당 카매니저 또는 MY Renault 앱 내 계약/출고 조회 메뉴에서 실시간 출고 진행 상황을 확인하실 수 있습니다.
19,정비/점검,르노 마스터(Master) 상용차 정비가 가능한 센터는 어디인가요?,마스터 전용 리프트와 전문 기술진을 보유한 '마스터 전문 정비 거점'에서만 정비가 가능하므로 사전 엔젤센터 문의 후 방문해 주세요.
20,고객지원,르노코리아 고객센터 운영시간은 어떻게 되나요?,"엔젤센터 상담원 연결은 평일 09:00~18:00 가능하며, 긴급출동 접수는 24시간 365일 운영됩니다."
