순번,카테고리,질문,답변
1,디젤엔진 안내,조작된 부분은 무엇이고 금번 이슈의 이유는?,차량 내 소프트웨어상 문제입니다. ECU(엔진제어유닛) 소프트웨어 조작으로인해 테스트모드에서 부정확한 배기가스수치가 측정되었습니다.
2,디젤엔진 안내,내 차가 대상 차량인지 확인할 수 있는 방법은?,통상적으로 차대번호를 통해 확인할 수 있습니다. 아우디코리아 대상 차량 확인 페이지에서 차대번호를 입력하면 해당 여부를 확인할 수 있습니다.
3,디젤엔진 안내,구체적으로 어떤 모델에 이 엔진이 적용되었나?,"4기통 디젤엔진(EA 189 디젤엔진 배기량 1.6리터, 2.0리터엔진)을 장착한 아우디 모델입니다. 국내에서 판매된 A4, A5, A6 2.0 TDI, Q3, Q5 2.0 TDI의 일부 모델이 해당되며, A4는 12~15년식, A5는 13~15년식, A6 2.0 TDI는 13~15년식, Q3는 12~15년식, Q5 2.0 TDI는 11~14년식입니다."
4,디젤엔진 안내,현재 출시된 유로6 디젤엔진에도 해당 소프트웨어가 사용되고 있는가?,아우디코리아에서 공식 수입/판매된 모든 아우디 차량은 유럽형 기준의 차량입니다. 현재 유럽연합지역에 판매되고 있는 유로6 디젤엔진을 탑재한 폭스바겐그룹의 신차들은 법적요구사항 및 환경기준을 만족하고 있습니다.
5,디젤엔진 안내,내 차에는 문제가 없는가?,금번의 이슈는 질소산화물(NOx) 배출량의 편차와 관련된 것으로 차량의 주행성능과 안전에는 문제가 없습니다.
6,디젤엔진 안내,차량검사/수리를 받기 전까지 대상 차량을 타도 괜찮은가?,아무런 제약없이 대상차량을 지속적으로 운행해도 안전합니다.
7,차량 Q&A(영상),주행 시 페달의 딸깍 소리는 왜 발생하나요?,아우디 공식 영상(차량 Q&A)에서 원인과 대처 방법을 안내합니다. (유튜브 영상 참고: https://youtu.be/6rofGmv5w-s)
8,차량 Q&A(영상),시동 시 RPM이 2000까지 증가했다가 감소하는 이유는 무엇인가요?,아우디 공식 영상(차량 Q&A)에서 원인과 대처 방법을 안내합니다. (유튜브 영상 참고: https://youtu.be/hSiF3IV4-Ag)
9,차량 Q&A(영상),시동을 끈 후에도 팬이 돌아가는 소리가 나는 이유는 무엇인가요?,아우디 공식 영상(차량 Q&A)에서 원인과 대처 방법을 안내합니다. (유튜브 영상 참고: https://youtu.be/1f2-9D_bj-Q)
10,차량 Q&A(영상),우천 시 헤드램프 내부에 습기가 차는 이유는 무엇인가요?,아우디 공식 영상(차량 Q&A)에서 원인과 대처 방법을 안내합니다. (유튜브 영상 참고: https://youtu.be/tp8VO-RwZGM)
11,차량 Q&A(영상),통풍시트 작동 시 소리가 나는 이유는 무엇인가요?,아우디 공식 영상(차량 Q&A)에서 원인과 대처 방법을 안내합니다. (유튜브 영상 참고: https://youtu.be/DaQrf7_rP7M)
12,차량 Q&A(영상),와이퍼 작동 시 소리가 나는 이유는 무엇인가요?,아우디 공식 영상(차량 Q&A)에서 원인과 대처 방법을 안내합니다. (유튜브 영상 참고: https://youtu.be/38dVzE3xqVQ)
13,차량 Q&A(영상),유턴 시 하체에서 드득 소리가 나는 이유는 무엇인가요?,아우디 공식 영상(차량 Q&A)에서 원인과 대처 방법을 안내합니다. (유튜브 영상 참고: https://youtu.be/kEpeeGRZ3XU)
14,차량 Q&A(영상),브레이크 밀림 현상은 왜 발생하나요?,아우디 공식 영상(차량 Q&A)에서 원인과 대처 방법을 안내합니다. (유튜브 영상 참고: https://youtu.be/QonWqvo599M)
15,차량 Q&A(영상),신차 출고 후 엔진 쪽에서 연기 및 타는 냄새가 나는 이유는 무엇인가요?,아우디 공식 영상(차량 Q&A)에서 원인과 대처 방법을 안내합니다. (유튜브 영상 참고: https://youtu.be/eBqPxs_sPck)
16,차량 Q&A(영상),엔진오일이 소모되는 이유는 무엇인가요?,아우디 공식 영상(차량 Q&A)에서 원인과 대처 방법을 안내합니다. (유튜브 영상 참고: https://youtu.be/Sih0WiZGUAI)
