순번,카테고리,질문,답변
1,주문 완료,차량 구매 시 어떤 커넥티비티 패키지를 받을 수 있나요?,Tesla를 통해 구매한 모든 차량에는 프리미엄 커넥티비티 무료 체험판이 제공됩니다. 무료 체험 기간이 종료되면 Tesla 앱을 통해 프리미엄 커넥티비티 구독이 가능합니다.
2,주문 완료,주행 가능 거리란 무엇인가요?,주행 가능 거리는 Tesla 차량이 1회 충전으로 주행할 수 있는 예상 거리입니다. 배터리 구동 차량의 경우 주행 가능 거리를 특정 시점에 배터리에 저장된 에너지의 양으로 생각할 수도 있습니다. Tesla 차량 운전자는 주행 가능 거리를 남은 배터리 에너지의 백분율 또는 주행 가능한 남은 거리로 표시하도록 선택할 수 있습니다.
3,주문 완료,Tesla 주문을 완료했습니다. 다음 단계는 무엇인가요?,주문 완료 후 Tesla 계정에 로그인하여 차량 인도를 위한 세부 정보를 작성하세요. 이후 일정 시점이 지나면 차량 인도 및 전기차 보조금 관련 설문 조사를 받게 됩니다. 설문 조사를 제출한 후 차량이 배정되면 Tesla 어드바이저와 함께 차량 인도 절차를 진행하게 됩니다.
4,주문 완료,주문 취소는 어떻게 하나요?,주문 당시 사용한 Tesla 계정에 로그인하여 주문을 취소하고 환불을 받을 수 있습니다. '관리하기'를 선택하고 취소 요청을 제출합니다. 환불은 최대 3~4주 정도 소요될 수 있습니다.
5,주문 완료,차량 디자인은 어떻게 변경하나요?,"Tesla 계정에 로그인합니다. 모델 옆의 '관리하기' 및 '디자인 편집하기'를 선택합니다. '업데이트' 버튼을 클릭할 시 주문 당시 차량 및 옵션 가격과 현재 금액이 다를 경우 변동 사항이 없어도 가격이 즉시 변경될 수 있습니다. 디자인 변경은 인도 일정 및 보험에도 영향을 미칠 수 있으니 신중하게 결정해야 합니다. 계정 페이지에 '디자인 편집하기' 버튼이 보이지 않을 경우 문의하기를 확인하세요. 참고: Model Y는 차량 디자인 변경이 불가합니다."
6,주문 완료,디자인 변경 시 차량 인도 일정에 영향을 주나요?,차량 디자인 변경은 인도 일정에 영향을 미칠 수 있습니다. 최초 주문 날짜가 유지되지만 디자인별 입항 일정에 따라 인도 일정이 변동될 수 있습니다.
7,주문 완료,어떤 인도 옵션이 가능한가요?,Tesla는 다양한 차량 인도 옵션을 제공합니다. Tesla 차량은 차량 결제 및 등록이 완료된 후 지정된 Tesla 센터에서 인도 또는 별도의 비용을 지불하고 요청한 위치로 탁송 인도가 가능합니다.
8,주문 완료,언제 차량을 인도받을 수 있나요?,인도 일정은 모델 주문 지역 및 생산 현황에 따라 변동될 수 있습니다. 또한 입항 일정 및 시기에 따라 주문한 차량 옵션이 영향을 받을 수 있습니다. 차량 준비가 완료되면 Tesla 어드바이저가 연락하여 인도 일정 예약을 도와드립니다.
9,파이낸싱 및 리스,Tesla 파이낸싱이나 리스는 어떻게 신청하나요?,Tesla는 금융 협력사를 통해 경쟁력 있는 금융 서비스를 제공합니다. 할부 및 리스 조건은 금융사마다 다릅니다.
10,파이낸싱 및 리스,Tesla 파이낸싱이나 리스 지원은 언제 가능한가요?,Tesla 어드바이저로부터 연락을 받으면 제휴 캐피탈사와의 상담을 요청하실 수 있습니다. 차량 대금 결제 기한 전까지 펀딩이 될 수 있도록 금융사와 계약을 체결하시면 됩니다.
11,파이낸싱 및 리스,리스 만기 후에는 어떤 옵션이 제공되나요?,리스 계약 만기 후 구매 또는 반납의 옵션을 제공합니다. Tesla의 리스 협력사를 통해 자세한 상담이 가능합니다.
12,트레이드인,트레이드인은 어떻게 이루어지나요?,"주문이 완료되고 차대번호(VIN)가 지정되면 Tesla 어드바이저가 트레이드인 절차를 시작하기 위해 연락드립니다. 트레이드인 제안을 받으려면 Tesla 계정에 차대번호(VIN), 주행 거리 및 사진과 같은 세부 정보를 제출해야 합니다. 트레이드인 차량은 인도 예약 시점에 반납해야 합니다. 신차 또는 Tesla 인증 중고차 인도 시 제공되는 트레이드인 견적에 유효한 플러스 자산이 적용될 수 있으며, 마이너스 자산이 있는 경우 원래 트레이드인 제안에서 비용이 차감될 수 있습니다."
13,트레이드인,Tesla는 트레이드인 차량의 가격을 어떻게 결정하나요?,비 Tesla 차량에 대한 트레이드인 가치는 업계 표준 도구 및 리소스(차량 이력 확인 포함)를 활용하는 시장 데이터를 기반으로 결정됩니다. Tesla 차량의 트레이드인 가치는 차량 구성 이력 주행거리 및 연식에 따라 결정되며, 제공한 정보와 시장 데이터, Tesla 내부 제품 지식을 바탕으로 가치가 정해집니다.
14,트레이드인,트레이드인은 차량 구매에 어떤 영향을 주나요?,차량 구매 시 트레이드인 크레딧이 부가됩니다. 해당되는 경우 트레이드인 차량의 가치만큼 Tesla 신차 구매 가격에서 차감합니다. 뿐만 아니라 인도일까지 트레이드인 차량을 사용할 수 있어 차량 공백으로 손해 보지 않습니다.
15,트레이드인,리스중인 차량도 트레이드인 할 수 있나요?,아니요. 트레이드인 절차가 본격적으로 시작되기 전에 리스 계약을 종료하고 트레이드인 차량의 소유권을 주문자 또는 관계인에게 이전해두어야 합니다.
16,트레이드인,할부중인 차량도 트레이드인 할 수 있나요?,예. 소유권을 Tesla로 이전하기 전에 저당을 해결할 수 있는 경우에만 가능합니다. 소유권을 이전한 후 남은 대금은 본인 또는 이전 차량 소유자에게 귀속되며 Tesla는 이에 대해 책임을 지지 않습니다.
17,트레이드인,본인 명의의 차량이 아닌 경우 트레이드인 할 수 있나요?,"다른 사람 명의의 차량을 거래하려는 경우 해당 명의자와의 관계를 확인해야 합니다. 또한 트레이드인 의사의 유효성을 확인하기 위해 차량 명의자로부터 동의서를 받아 제공해야 하며, 확인 서류에는 가족관계증명서, 사업자등록증 등이 포함됩니다."
18,차량 인도,인도 전에 어떤 정보가 필요한가요?,"차량을 인도받기 전에 필요한 단계를 확인해야 합니다. 참고: 인도 절차는 거주 지역, 파이낸싱 방법 및 이용 가능 여부에 따라 달라질 수 있습니다."
