순번,카테고리,질문,답변
1,고객지원,렉서스 고객지원실 운영시간 및 연락처는 어떻게 되나요?,"고객지원실(080-4300-4300)은 평일 09:00~18:00 운영되며, 서비스 예약 전용 AI 콜센터(080-4500-4500) 및 긴급출동 서비스는 24시간 연중무휴 이용 가능합니다."
2,긴급출동,렉서스 긴급출동 서비스의 지원 범위는 어떻게 되나요?,"공식 전시장에서 구매한 차량을 대상으로 365일 24시간 운영되며, 50km 이내 무료 긴급견인, 연간 3회 비상연료 공급, 배터리 점프, 스페어 타이어 교체 서비스를 제공합니다."
3,보증/케어,렉서스 케어 프로그램(Lexus Care Program) 가입 조건은 무엇인가요?,출고 후 9년 또는 18만km 이내 차량 중 공식 서비스 센터에서 정기점검을 받아 'PASS' 판정을 받은 차량에 한해 엔진 및 동력전달 계통 추가 보증 혜택이 제공됩니다.
4,서비스예약,차량 정기점검 및 수리 예약은 어떻게 하나요?,"렉서스 라운지 모바일 앱, 공식 홈페이지 온라인 예약 시스템 또는 AI 콜센터(080-4500-4500)를 통해 24시간 편리하게 예약할 수 있습니다."
5,하이브리드,하이브리드 메인 배터리의 보증기간은 몇 년인가요?,렉서스 하이브리드 메인 배터리 보증기간은 차종 및 연식에 따라 10년 또는 20만km(선도래 기준)까지 적용되어 안심하고 운행하실 수 있습니다.
6,서비스혜택,렉서스 무상 점검 쿠폰(FMSP)의 포함 내역은 무엇인가요?,"FMSP(Free Maintenance Service Program)는 2년 또는 4만km 동안 주요 소모품(엔진오일, 오일필터, 에어클리너, 에어컨필터 등) 무상 교환 및 정기점검을 제공합니다."
7,인포테인먼트,렉서스 커넥트(Lexus Connect) 앱 기능에는 어떤 것들이 있나요?,"차량 원격 시동, 문 잠금/해제, 비상등 점등, 차량 위치 찾기, 주행 기록 분석 및 정비 주기 알림 기능을 제공합니다."
8,정비/점검,렉서스 하이브리드 시스템 점검(Health Check)이란 무엇인가요?,"공식 서비스센터 방문 시 정밀 진단기를 통해 하이브리드 배터리, 인버터, 모터의 상태를 점검하고 최적의 작동 상태를 유지해 드리는 전용 서비스입니다."
9,부품/용품,렉서스 순정 엔진오일의 특장점은 무엇인가요?,"렉서스 하이브리드 엔진에 최적화된 저점도 고성능 순정 오일로, 연비 향상 및 엔진 내구성 보호에 탁월한 성능을 발휘합니다."
10,고객혜택,렉서스 라운지(Lexus Lounge) 모바일 앱 혜택은 무엇인가요?,"정비 예약, 차량 관리, 브랜드 이벤트 참여, 제휴 골프장 및 레스토랑 혜택, 렉서스 크리에이티브 라이프스타일 콘텐츠를 이용하실 수 있습니다."
11,보증수리,신차 차체 및 일반 부품 보증기간은 몇 년인가요?,"렉서스 신차의 기본 보증기간은 4년 또는 10만km(선도래 기준)로, 동력전달 계통을 포함한 주요 부품에 적용됩니다."
12,전기차,"렉서스 전기차(BEV, RZ450e 등)의 배터리 보증 및 관리 정책은 어떤가요?","BEV 모델의 리튬 이온 배터리는 10년 또는 100만km(용량 70% 유지 조건) 보증을 제공하며, 전기차 전용 케어 프로그램을 운영합니다."
13,사고수리,렉서스 공식 딜러 판금/도장 서비스센터의 특징은 무엇인가요?,렉서스 글로벌 표준 기술 및 환경 친화적 수성 도료를 사용하여 차량 초기 품질 수준으로 완벽 복원해 드립니다.
14,구매/금융,렉서스 인증 중고차(Lexus Approved)의 보증 혜택은 무엇인가요?,"179가지 항목의 엄격한 기술 점검을 통과한 차량으로, 1년 또는 2만km 추가 보증 서비스와 24시간 긴급출동 혜택이 제공됩니다."
15,차량관리,하이브리드 차량을 장기간 주행하지 않을 때 배터리 방전 방지법은?,주 1회 이상 최소 30분 동안 시동(READY 상태)을 걸어 두시면 하이브리드 고전압 배터리가 12V 보조 배터리를 자동으로 충전합니다.
16,정비/점검,렉서스 픽업 & 리턴 서비스 이용 요건은 무엇인가요?,"FMSP 기간 내 고객 및 케어 프로그램 대상 고객에게 제공되며, 정비 희망 장소로 차량을 픽업하고 정비 완료 후 전달해 드립니다."
17,부품/용품,렉서스 순정 타이어 교체 시 혜택이 있나요?,공식 센터에서 순정 타이어 교체 시 타이어 파손 보증 케어 및 무료 휠 밸런스 점검 서비스를 받으실 수 있습니다.
18,보증수리,보증기간 연장 프로그램(Lexus Extra Care) 구매가 가능한가요?,기본 보증 만료 전 공식 서비스 센터에서 보증 연장 상품을 구매하시면 최대 5년/12만km까지 무상 보증을 확대할 수 있습니다.
19,인포테인먼트,렉서스 내비게이션 OTA 업데이트 설정 방법은 어떻게 되나요?,차량 설정 메뉴의 소프트웨어 업데이트에서 Wi-Fi 연동 또는 LTE 통신을 통한 자동 업데이트를 활성화하시면 됩니다.
20,고객지원,렉서스 익스프레스 서비스(Express Service)는 무엇인가요?,2명의 전담 테크니션이 동시에 작업하여 일반 정기점검 및 엔진오일 교환을 1시간 이내에 완료해 드리는 신속 정비 서비스입니다.
