순번,카테고리,질문,답변
1,보증수리,포드 자동차의 신차 보증기간은 어떻게 되나요?,"포드 공식 판매 차량의 일반 보증기간은 5년 또는 100,000km(선도래 기준)이며, 엔진 및 동력전달 계통을 포함하여 넉넉한 보증 혜택을 제공합니다."
2,긴급출동,포드 24시간 긴급출동 서비스는 무엇을 지원하나요?,"포드 고객지원센터(080-300-3673)를 통해 24시간 견인 서비스, 배터리 점프, 타이어 교체, 비상 급유 등 긴급 조치 서비스를 이용하실 수 있습니다."
3,소모품,소모품 무상 교환 서비스(ESP) 범위는 어떻게 되나요?,"엔진오일, 오일필터, 에어클리너, 브레이크 오일 등 주요 소모품에 대해 약정된 기간/주행거리 동안 무상 교환 서비스를 받으실 수 있습니다."
4,인포테인먼트,SYNC 인포테인먼트 시스템 소프트웨어 업데이트는 어떻게 하나요?,"차량 내 Wi-Fi를 연결하여 OTA(무선) 업데이트를 진행하거나, 포드 공식 홈페이지에서 USB로 다운로드 받아 직접 업데이트할 수 있습니다."
5,서비스예약,포드 공식 서비스센터 예약은 어디서 하나요?,"포드 코리아 공식 홈페이지의 '서비스 센터 예약' 페이지 또는 모바일 앱, 전용 고객센터(080-300-3673)를 통해 가까운 센터로 예약이 가능합니다."
6,서비스혜택,포드 픽업 & 리턴 서비스(Pickup & Delivery) 이용 조건은 무엇인가요?,정기 점검 및 유상 수리 고객을 대상으로 정비 차량을 지정 장소에서 픽업하고 정비 완료 후 다시 인도해 드리는 프리미엄 편의 서비스입니다.
7,커넥티드,FordPass(포드패스) 앱 등록 및 주요 기능은 어떤 것들이 있나요?,"차대번호(VIN) 등록 후 원격 시동, 문 잠금/해제, 연료 잔량 확인, 차량 위치 추적, 정비 예약 및 경고등 알림 기능을 사용할 수 있습니다."
8,정비/점검,포드 차량의 엔진오일 수명 시스템(IOLM)이란 무엇인가요?,Intelligent Oil-Life Monitor 시스템이 주행 조건 및 운전 습관을 분석하여 엔진오일 교환 시기를 계기판 메시지로 정확히 안내해 주는 기능입니다.
9,부품/용품,포드 순정 부품 모터크래프트(Motorcraft)의 보증기간은 얼마인가요?,포드 공식 서비스센터에서 유상 구매 및 장착한 모터크래프트 부품은 2년 또는 무제한 주행거리 부품 보증이 적용됩니다.
10,전기차/PHEV,포드 머스탱 마하-E 등 전기차 고전압 배터리 보증은 어떻게 되나요?,"전기차 모델의 고전압 배터리 및 관련 전동화 시스템 부품은 8년 또는 160,000km(배터리 용량 70% 보장) 보증이 적용됩니다."
11,구매/시승,"포드 익스플로러, 브론코, 레인저 등 인기 차종 시승 신청 방법은?",포드 코리아 공식 웹사이트의 '시승 신청' 탭에서 희망하는 차종과 전시장 위치를 선택하여 온라인으로 간편하게 신청하실 수 있습니다.
12,사고수리,포드 사고 수리 및 판금도장 서비스의 장점은 무엇인가요?,포드 알루미늄 바디 정밀 복원 전용 수리 장비와 글로벌 기술 표준을 이수한 전문 인력이 원래 차체 강성을 유지하도록 정밀 수리합니다.
13,차량관리,브론코(Bronco) 소프트탑/하드탑 관리 및 세차 시 유의사항은?,"소프트탑 소재 보호를 위해 고압 세차 시 노즐을 최소 30cm 이상 격리해야 하며, 특수 세정제 사용 후 전용 방수 코팅제를 발라주는 것이 좋습니다."
14,정비/점검,포드 레인저(Ranger) 픽업트럭의 화물 적재 및 견인 관련 주의점은?,"최대 견인하중(최대 3,500kg) 및 적재하중 기준을 준수해야 하며, 견인 주행 시에는 트레일러 스웨이 제어(TSE) 기능을 활성화해야 합니다."
15,인포테인먼트,SYNC4 시스템에서 무선 안드로이드 오토 / 카플레이 연결 방법은?,"차량 블루투스 메뉴에서 휴대폰을 새로 등록하고, 무선 연결 허용을 승인하면 케이블 연결 없이 화면이 자동 연동됩니다."
16,보증수리,포드 보증 연장 상품(PMP / ESP) 가입 절차는 어떻게 되나요?,"신차 출고 후 3년 또는 60,000km 이내 차량은 공식 서비스 센터 방문을 통해 최대 7년/140,000km까지 보증 기간 연장 상품을 선택 구매할 수 있습니다."
17,중고차,포드 인증 중고차(Ford Approved) 혜택 및 점검 항목은?,"160개 항목의 정밀 품질 점검을 통과한 무사고 차량으로, 1년/20,000km 추가 무상 보증 및 24시간 긴급출동 서비스가 제공됩니다."
18,소모품,"와이퍼, 브레이크 패드 등 소모품 교환은 공식 센터에서만 해야 하나요?","정품 소모품 교환을 통해 차량의 정밀 센서 및 성능을 최적으로 유지할 수 있으며, 사제 부품 사용 시 관련 장치 보증이 제한될 수 있습니다."
19,고객지원,포드 서비스 센터 평일 및 토요일 운영 시간은 언제인가요?,"평일은 08:30~17:30까지 운영되며, 토요일은 일부 주요 서비스 센터에서 예약제로 경정비 서비스를 제공하고 있습니다."
20,구매/금융,포드 파이낸셜 서비스(Ford Financial) 이용 및 운용 리스 안내는?,"포드 전용 파이낸셜 프로그램을 통해 무이자/저금리 할부, 운용리스, 유예 할부 등 다양한 개인 맞춤형 금융 솔루션을 제공받으실 수 있습니다."
