순번,카테고리,질문,답변
1,보증수리,볼보 자동차의 기본 무상 보증기간 및 소모품 교환 주기는 어떻게 되나요?,볼보는 전 차종에 대해 업계 최고 수준인 5년 또는 10만km 무상 보증 및 소모품 교환 서비스(Maintenance Service)를 기본 제공합니다.
2,긴급출동,볼보 도로간 긴급 지원(Volvo Assistance) 서비스 신청 방법은 무엇인가요?,볼보 고객센터(1644-6633) 또는 차량 내부의 'ON CALL' / 'SOS' 버튼을 누르면 24시간 365일 긴급 출동 및 견인 서비스를 안내받으실 수 있습니다.
3,서비스센터,볼보 평생 부품 보증(Lifetime Parts Warranty)제도는 무엇인가요?,"공식 서비스 센터에서 유상으로 교체한 순정 부품에 대해, 해당 차량을 계속 소유하는 동안 기한 없이 부품 보증을 제공하는 고객 케어 프로그램입니다."
4,인포테인먼트,TMAP 인포테인먼트 서비스 이용 기간 및 재연장 방법은 어떻게 되나요?,"신차 출고 시 5년간 TMAP 기반 네비게이션, NUGU 음성인식, FLO 음악 서비스 무상 데이터를 제공하며, 5년 이후에는 연장 상품을 통해 계속 이용할 수 있습니다."
5,라이프스타일,볼보 라이프스타일 숍 구매 상품 및 이벤트 문의는 어디로 하나요?,"볼보 라이프스타일 숍 고객센터(1644-6633)를 통해 평일 09:00~18:00 사이에 회원 가입, 상품 주문, 배송 및 이벤트 관련 문의가 가능합니다."
6,전기차,"볼보 순수 전기차(EX30, EX90, C40 Recharge 등)의 고전압 배터리 보증기간은?",볼보 전기차의 고전압 리튬이온 배터리는 8년 또는 16만km(선도래 기준) 동안 무상 보증됩니다.
7,서비스예약,Volvo Cars 앱을 통한 서비스 센터 예약 방법은 어떻게 되나요?,"Volvo Cars 앱 로그인 후 '서비스 예약' 메뉴에서 원하는 서비스 센터, 정비 항목, 날짜 및 시간을 선택하여 간편하게 예약하실 수 있습니다."
8,소모품,볼보 무상 소모품 교환(MSO) 항목에는 어떤 것들이 포함되나요?,"엔진오일 및 오일필터, 에어클리너, 에어컨 필터, 브레이크 오일, 와이퍼 블레이드, 브레이크 패드 등 주행에 필요한 주요 소모품이 포함됩니다."
9,커넥티드,Volvo Cars 앱으로 원격 시동 및 에어컨/히터 사전 가동이 가능한가요?,"네, Volvo Cars 앱의 원격 클라이밋 제어 기능을 통해 차량 탑승 전 원하는 실내 온도로 미리 설정할 수 있습니다."
10,안전기능,City Safety(시티 세이프티) 경고등이 켜졌을 때 어떻게 조치해야 하나요?,"전방 레이더 및 카메라 센서 부위(전면 유리 및 그릴)의 이물질이나 눈/비를 제거해 주시고, 지속될 경우 공식 서비스센터에서 센서 보정을 받으셔야 합니다."
11,구매/금융,볼보 인증 중고차(Volvo Selekt)의 품질 보증 조건은 무엇인가요?,"184가지 엄격한 품질 점검을 통과한 차량으로, 1년 또는 2만km 책임 보증과 24시간 긴급출동 서비스를 동일하게 제공합니다."
12,부품/용품,"볼보 순정 악세사리(루프박스, 견인고리 등) 장착 후 구조변경 절차가 필요한가요?","공식 견인고리 등 일부 용품은 장착 후 구조변경 승인이 필요하며, 볼보 공식 서비스센터에서 설치부터 승인 대행까지 지원합니다."
13,사고수리,볼보 사고 차량 케어 서비스(Accident Care) 혜택은 무엇인가요?,"사고 발생 시 무료 견인 지원, 사고 수리 기간 동안의 대차 서비스 안내, 공식 판금도장 센터에서의 안전 기준 복원을 지원합니다."
14,정비/점검,볼보 Personal Service(VPS) 2인 1조 전담 정비 시스템이란?,2명의 전담 테크니션이 한 조를 이루어 정비를 담당함으로써 작업 시간을 절반으로 단축하고 정확도를 높이는 볼보만의 차별화된 정비 서비스입니다.
15,차량관리,볼보 내장재 레더 시트 관리 및 가죽 케어 방법은 무엇인가요?,볼보 순정 가죽 케어 키트를 사용해 6개월마다 청소 및 영양 공급을 해주시면 스웨덴 감성의 천연 가죽 질감을 오랫동안 유지할 수 있습니다.
16,인포테인먼트,TMAP NUGU 음성인식으로 제어할 수 있는 기능은 무엇인가요?,"에어컨/히터 온도 조절, 열선/통풍 시트 작동, 내비게이션 목적지 설정, 음악 재생, 전화 걸기, 문자 전송 등 다양한 차량 기능을 음성으로 제어할 수 있습니다."
17,보증수리,해외 직수입 볼보 차량도 국내 공식 서비스센터에서 보증수리가 가능한가요?,국내 공식 딜러망을 통해 판매된 정식 수입 차량에 한해 무상 보증 및 MSO 혜택이 적용됩니다.
18,정비/점검,볼보 서비스 센터의 영업시간은 어떻게 되나요?,"전국 공식 서비스 센터는 평일 08:30~17:30까지 운영되며, 일부 센터는 토요일 오전 정비 서비스를 제공합니다."
19,부품/용품,볼보 폴스타 퍼포먼스 소프트웨어(Polestar Engineered) 업그레이드는 무엇인가요?,"엔진 출력, 출하 변속 속도, 스로틀 응답성을 최적화하는 볼보 공식 성능 튜닝 소프트웨어로, 설치 후에도 차량 무상 보증이 그대로 유지됩니다."
20,고객지원,볼보 자동차 공식 고객센터 전화번호와 상담 시간은 어떻게 되나요?,"볼보 고객센터(1644-6633)는 평일 09:00~18:00 운영되며, 긴급출동 및 도로지원 상담은 24시간 연중무휴 지원합니다."
