순번,카테고리,질문,답변
1,온라인 스토어 이용,메르세데스-벤츠 스토어란 무엇인가요?,메르세데스-벤츠 스토어는 메르세데스-벤츠 코리아의 공식 이커머스 플랫폼입니다. 고객은 원하는 차량에 대한 차량 정보를 확인할 수 있으며 구매 상담을 요청하거나 '지금 주문하기'를 통하여 온라인 계약금 결제를 진행할 수 있습니다. 이후 계약서 작성 잔금 결제 및 차량 인도는 선택하신 공식 전시장의 담당 세일즈 컨설턴트의 안내에 따라 진행됩니다.
2,온라인 스토어 이용,차량 구매를 온라인에서 모두 완료할 수 있나요?,메르세데스-벤츠 스토어에서 온라인 계약금 결제만 가능하며 최종 계약 및 차량 인도는 선택하신 공식 전시장의 세일즈 컨설턴트의 안내에 따라 오프라인으로 진행됩니다.
3,온라인 스토어 이용,메르세데스-벤츠 스토어의 온라인 구매 절차가 어떻게 되나요?,메르세데스-벤츠 스토어의 온라인 구매 절차는 '온라인 구매 가이드'를 통해서 자세하게 확인 가능합니다. (https://www.mercedes-benz.co.kr/passengercars/buy/online-purchase-guide.html)
4,온라인 스토어 이용,메르세데스-벤츠 계정 회원가입/로그인을 하지 않아도 차량 구매가 가능한가요?,"네, 메르세데스-벤츠 계정 없이 비회원으로 온라인 계약금 결제가 가능합니다."
5,온라인 스토어 이용,메르세데스-벤츠 스토어에서 보이는 차량 가격은 최종 가격인가요?,본 웹사이트에 기재된 차량 및 사양의 가격은 권장소비자가격으로 실제 판매 가격과 상이할 수 있습니다.
6,온라인 스토어 이용,차량을 구매하기 전 시승을 해보고 싶은데 어떻게 할 수 있나요?,메르세데스-벤츠 공식 홈페이지의 '시승 신청' 메뉴를 통하여 원하는 공식 전시장에서 시승이 가능합니다. (https://www.mercedes-benz.co.kr/passengercars/test-drive.html)
7,온라인 스토어 이용,원하는 차량의 구매 상담을 요청할 때 수수료가 발생하나요?,"아니요, 별도의 수수료가 발생하지 않습니다."
8,온라인 스토어 이용,구매 상담 요청 시 정보를 잘못 입력했을 경우 입력한 정보를 수정할 수 있나요?,잘못 입력한 경우 동일 차량을 다시 선택하여 새로운 구매 상담 요청을 제출해 주시면 됩니다.
9,온라인 스토어 이용,구매 상담 요청 후 이메일 또는 세일즈 컨설턴트의 연락을 받지 않았을 경우 어떻게 하나요?,구매 상담 요청 후 연락을 받지 못하신 경우 고객 컨택 센터(080-001-1886) 또는 선택하신 공식 전시장으로 문의해 주시기 바랍니다.
10,온라인 스토어 이용,온라인 계약금은 얼마인가요?,"온라인 계약금은 1,000,000원이며 전액 환불 가능합니다."
11,온라인 스토어 이용,온라인 계약금 결제는 어떻게 하나요?,온라인 계약금 결제는 일반결제(신용카드) 또는 간편결제 및 앱카드로 결제가 가능합니다.
12,온라인 스토어 이용,차량 구매를 원하지 않을 경우 온라인 계약금을 환불 받을 수 있나요?,온라인 계약금은 전액 환불 가능하며 구매 취소 결정 이후 영업일 기준 7~14일 이내에 환불됩니다.
13,온라인 스토어 이용,차량 구매시 할부 또는 리스도 가능한가요?,가능합니다. 월 납입금 계산기를 통하여 다양한 금융상품을 확인하실 수 있으며 자세한 금융상품은 선택하신 공식 전시장의 세일즈 컨설턴트가 안내 드립니다.
14,온라인 스토어 이용,메르세데스-벤츠 스토어에서 온라인 계약금을 결제하는 동안 다른 사람이 중복으로 계약금 결제를 할 수 있나요?,고객이 온라인 계약금을 결제하면 시스템상 자동으로 해당 차량이 사라지므로 다른 사람이 중복으로 예약할 수 없습니다.
15,온라인 스토어 이용,온라인 계약금 결제 후 차량이나 선택한 전시장을 변경할 수 있나요?,온라인 계약금 결제 후 차량/전시장을 변경할 수 없습니다. 추가 문의사항이 있으실 경우 고객컨택센터(080-001-1886) 또는 선택하신 공식 전시장으로 문의해 주시기 바랍니다.
16,온라인 스토어 이용,온라인 계약금 지불 후 계약서 작성과 잔금은 어떻게 지불하나요?,온라인 계약금 결제 후 계약서 작성 및 잔금 지불을 위하여 선택하신 공식 전시장의 담당 세일즈 컨설턴트가 연락을 드릴 예정이며 담당 세일즈 컨설턴트의 안내에 따라서 진행해 주시기 바랍니다.
17,온라인 스토어 이용,지원되는 브라우저는 무엇인가요?,본 사이트는 Google Chrome 환경에 최적화되어 있으며 다른 브라우저에서 호환성이 맞지 않을 가능성이 있기에 Google Chrome의 가장 최신 버전 사용을 권장합니다.
18,온라인 스토어 이용,기타 문의사항(오류 제안 사항 불만사항 등)은 어디로 연락해야 하나요?,기타 문의사항이 있으실 경우 라이브 챗을 통한 실시간 문의 또는 고객 컨택 센터(080-001-1886)로 문의 주시면 빠른 시일 내에 답변을 드리도록 하겠습니다.
19,액세서리&컬렉션 스토어,메르세데스-벤츠 차량 소유자만 구매할 수 있나요?,아니요. 메르세데스-벤츠 계정이 있으시다면 차량 보유 여부와 관계없이 액세서리 & 컬렉션 온라인 스토어에서 제품을 구매하실 수 있습니다. 다만 일부 차량용 액세서리 제품의 경우 차량과의 호환성 여부가 확인된 경우에만 구매 가능합니다.
20,액세서리&컬렉션 스토어,메르세데스-벤츠 계정은 어떻게 생성하나요?,액세서리 & 컬렉션 온라인 스토어 웹페이지 오른쪽 상단의 사람 모양 아이콘을 클릭하여 로그인 버튼 하단의 '등록' 링크를 클릭하시면 보이는 '새 계정 생성' 창에서 신규 회원가입을 진행하시면 됩니다.
21,액세서리&컬렉션 스토어,상품 교환이 가능한가요?,아니요. 메르세데스-벤츠 공식 온라인 스토어에서는 교환 서비스를 제공하지 않습니다. 교환을 원하시는 경우 반품 접수 후 재주문해 주셔야 하며 오프라인 매장이나 공식 딜러 카카오톡 선물하기 채널을 통한 교환도 불가능합니다.
22,액세서리&컬렉션 스토어,온라인 스토어에서 구매한 제품을 오프라인 매장이나 공식 딜러 카카오톡 선물하기 채널에서 교환 또는 환불할 수 있나요?,아니요. 온라인 스토어에서 구매하신 제품은 메르세데스-벤츠 온라인 스토어를 통해서만 교환 또는 환불이 가능합니다.
23,액세서리&컬렉션 스토어,반품은 어떻게 신청하나요?,상품 수령일로부터 7일 이내에 스토어 내 주문 내역 페이지에서 주문 번호 클릭 후 반품 신청하거나 고객 컨택 센터(080-001-0089)로 접수하시면 되며 접수 후 약 2~3영업일 내 지정된 장소에서 택배 회수가 진행됩니다.
24,액세서리&컬렉션 스토어,반품이 가능한 조건은 무엇인가요?,"사용하지 않은 상태의 제품, 제품 및 포장이 훼손되지 않은 경우, 모든 구성품 및 사은품을 함께 반납한 경우 반품이 가능합니다. 단 제조 과정에서 발생한 하자의 경우에는 예외적으로 교환 또는 환불이 가능합니다."
25,액세서리&컬렉션 스토어,반품이 불가능한 경우는 어떤 경우인가요?,"고객 책임으로 상품이 멸실 또는 훼손된 경우, 상품을 사용하거나 일부 소비하여 가치가 현저히 감소한 경우, 시간이 경과하여 재판매가 곤란할 정도로 가치가 감소한 경우, 복제가 가능한 상품의 포장을 훼손한 경우 등에는 반품이 불가능합니다."
26,액세서리&컬렉션 스토어,한정 상품도 반품 또는 교환이 가능한가요?,일부 한정 상품의 경우 조기 품절 또는 제조과정상 결함이 발생하더라도 교환이 불가능할 수 있으며 이 경우 자동으로 환불 처리됩니다.
27,액세서리&컬렉션 스토어,어떤 경우에는 환불이 되지 않나요?,제품의 사용상 주의사항이나 특성이 사전에 안내된 경우 이는 환불 사유에 해당하지 않습니다. 구매 전 반드시 상품 상세 정보를 확인해 주시기 바랍니다.
28,액세서리&컬렉션 스토어,반품 시 주의해야 할 점이 있나요?,고객 컨택 센터 접수 없이 임의로 발송한 경우 환불이 지연되거나 반송될 수 있고 착불 택배로 발송 시 반송 처리될 수 있으며 고객 사유 반품의 경우 반품 배송비 등 추가 비용이 차감된 후 환불될 수 있습니다.
29,액세서리&컬렉션 스토어,환불은 언제 처리되나요?,상품을 회수하여 검수가 완료된 날로부터 3영업일 이내 환불이 진행됩니다. 단 결제 수단에 따라 환불 소요 기간은 상이할 수 있습니다.
30,액세서리&컬렉션 스토어,제품 보증 기간은 어떻게 되나요?,구매일로부터 1년간 보증이 제공됩니다. 보증은 공정거래위원회 소비자분쟁해결기준에 따라 정당한 소비자 피해에 대해 적용됩니다.
31,액세서리&컬렉션 스토어,A/S는 어떻게 신청할 수 있나요?,"일부 컬렉션 및 액세서리는 완제품으로 수입되어 A/S가 불가능할 수 있으며 이 경우 보증기간 내 제품 불량 발생 시 새 제품으로 교환해 드립니다. 시계, 골프백, 여행가방 등 일부 제품은 보증기간 내 A/S가 가능하며 접수는 고객 컨택 센터(080-001-0089)로 문의하시면 됩니다."
32,보증 및 서비스(온라인 스토어),온라인 스토어에서 예약 후 구입한 차량에는 어떤 보증이 적용됩니까?,메르세데스-벤츠 온라인 스토어에서 예약 후 구입한 모든 차량에는 2년간의 제조사 보증이 적용됩니다. 이 보증 기간은 차량의 인도 또는 최초 등록과 함께 시작됩니다(이 중 먼저 도래하는 날짜 적용).
33,보증 및 서비스(온라인 스토어),온라인 스토어에서 반환할 권리가 나에게 있습니까?,14일 이내에 이유를 설명하지 않고 주문을 취소할 수 있습니다. 자세한 정보는 주문 절차 진행 중 제공되는 취소 안내를 참조하시기 바랍니다.
34,보증 및 서비스(온라인 스토어),구매 후에는 누가 나를 지원합니까?,메르세데스-벤츠 파트너가 항상 지원하며 해당 파트너는 온라인 스토어에서 예약 후 구입한 차량에 대해 모든 메르세데스-벤츠 서비스를 제공합니다.
35,보증 및 서비스(온라인 스토어),온라인 스토어에서 원하는 차량에 특수 장비를 추가로 선택할 수 있습니까?,온라인 스토어에서 제공하는 차량의 경우 목록에 기재된 특수 장비 외에 별도로 요청할 수 있는 특수 장비는 제공되지 않으며 다른 특수 장비를 갖춘 차량을 원할 경우 별도 서식이나 고객 서비스 센터를 통해 문의할 수 있습니다.
36,보증 및 서비스(온라인 스토어),온라인 스토어에서 원하는 차량에 추가적인 액세서리를 주문할 수 있습니까?,예. 온라인 스토어에서의 주문과 무관하게 메르세데스-벤츠 파트너를 통해 원하는 차량에 사용할 액세서리를 추가로 구입할 수 있습니다.
37,보증 및 서비스(온라인 스토어),주문 완료 후 보험이나 서비스 상품을 추가하려면 어떻게 해야 합니까?,고객 서비스 센터 또는 메르세데스-벤츠 파트너에게 연락하시면 적합한 보험 또는 서비스 상품 선택을 도와드립니다.
