순번,카테고리,질문,답변
1,오너,내 VIN은 무엇인가요?,VIN(Vehicle Identification Number)은 차대번호이며 차량마다 다릅니다. VIN은 윈드스크린 좌측의 맨 아래 부분을 통해 볼 수 있는 플레이트에 스탬프로 표시되어 있습니다. 자세한 사항은 iGuide 앱을 참조하십시오.?여기에서 앱에 액세스할 수 있습니다.
2,오너,키를 교체하려면 어떻게 해야 하나요?,보안상의 이유로 키 관련 사항은 가까운 공식 리테일러에 문의하는 것이 좋습니다. 가까운 공식 리테일러는?여기에서 확인할 수 있습니다.
3,오너,CoC(Certificate of Conformity)는 어디에서 받을 수 있나요?,재규어 랜드로버 코리아는 대한민국에서 차량을 판매하기 위해 대한민국 관련 법령에 따라 인증을 진행하고 있습니다. 따라서 해외로 수출되는 차량에 대해서는 CoC (Certificate of Conformity)를 제공해 드릴 수 없습니다.
4,오너,내 랜드로버의 제원은 어디에서 확인할 수 있나요?,"오너 정보 페이지에서 차량 제원을 확인할 수 있으며, 특정 정보에 액세스할 경우 요금이 부과될 수 있습니다."
5,오너,위성 내비게이션을 업데이트하려면 어떻게 해야 하나요?,"위성 내비게이션 업데이트에 대해 알아보려면 가까운 공식 리테일러를 방문하거나,?여기를 참조하거나,?랜드로버 코리아 웹 사이트를 확인하십시오."
6,오너,랜드로버에는 어떤 타이어를 사용할 수 있나요?,"랜드로버 인증 타이어 제품군에는 겨울용 타이어, 사계절용 타이어 및 오프로드 타이어(디펜더에만 제공)가 포함됩니다. 자세한 내용은?여기에서 확인할 수 있습니다."
7,오너,클래식 자동차를 보유하고 있으며 더 많은 정보를 원합니다. 누구에게 연락해야 하나요?,클래식 팀(sales@classic-jaguarlandrover.com)에 이메일로 문의하시면 기꺼이 도와드릴 것입니다. 또는?클래식 팀 웹 사이트를 방문하십시오.
8,오너,보증에 포함되는 것은 무엇인가요?,보증 연장을 포함한 모든 보증 정보는?보증 페이지를 참조하십시오.
9,오너,랜드로버는 얼마나 자주 서비스를 받아야 하나요?,"차량은 주행 스타일과 주행 거리 등을 고려하여 서비스가 필요한 시점을 지능적으로 감지합니다. 일반적으로 24개월 또는 21,000km 중 먼저 도래하는 시점에 서비스가 필요합니다.* 서비스 예약 시기가 되면 차량과 인컨트롤(InControl) 앱을 통해 알림이 제공됩니다."
10,오너,가까운 공식 리테일러를 어디에서 찾을 수 있나요?,리테일러 찾기를 사용하여 가장 가까운 공식 리테일러를 확인하십시오. 공식 리테일러를 찾을 수 없는 경우?연락처?양식을 사용하여 문의하시기 바랍니다.
11,오너,고장이 나면 누구에게 연락해야 하나요?,"긴급 출동 서비스(RSA) 제공업체에 연락해야 합니다. RSA 번호는 인컨트롤(InControl) 앱에 표시되며, 보증 기간 내인 경우 루프의 고장 버튼을 눌러 RSA를 호출할 수 있습니다."
12,판매,랜드로버를 수입하려면 어떻게 해야 하나요?,"다양한 제원, 서비스 및 보증 요구 사항으로 인해 차량은 판매 국가에 맞춰 테스트/검사되어야 하므로, 랜드로버는 차량의 개인 수입을 직접 지원하거나, 이 과정에 대한 추가 정보를 제공하거나, 규정 준수 인증서를 제공할 수 없습니다. ? 랜드로버는 차량 제원이 판매 국가의 법률을 준수하고 차량이 운행될 환경에 적합하도록 차량을 제조하고 시장에 인도한다는 점을 알려드립니다. 이는 판매 및 애프터세일즈 프로세스 지원 교육을 이수한 랜드로버의 공식 수입업체, 공식 리테일러 및 서비스 센터 네트워크를 통해 지원됩니다. 따라서 차량을 수입하기 전에 공식 리테일러 및 국토교통부에 문의하는 것이 좋습니다."
13,판매,랜드로버를 구매하거나 자세한 내용을 알고 싶다면 누구에게 문의해야 하나요?,랜드로버 구매에 대한 모든 문의 또는 구매와 함께 제공되는 품목에 대한 자세한 내용은 가까운?리테일러에 문의하시기 바랍니다.
14,판매,"아머드 차량, SVO 및 TDMS 랜드로버에 대한 자세한 정보를 알고 싶습니다. 누구에게 연락해야 하나요?","궁금한 사항이 있으면?svo@landrover.com?또는?armourd@jaguarlandrover.com으로 이메일을 보내주시기 바랍니다. SVO에 대한 자세한 정보는?여기에서 확인할 수 있으며, TDMS 차량 관련 문의는 별도로 연락해주십시오."
15,일반,랜드로버 고객 서비스에 문의하려고 합니다. 문의는 어디로 보내야 하나요?,자세한 고객 지원 서비스 문의처는?여기에서 확인 가능합니다.
16,일반,랜드로버에서 일하고 싶습니다. 어떻게 지원할 수 있나요?,채용 사이트를 방문하거나?jlrkta@jaguarlandrover.com으로 이메일을 보내주십시오.
17,일반,"생산 시설 견학을 하고 싶은데, 어디에서 자세한 정보를 얻을 수 있나요?",생산 시설 견학과 관련된 모든 정보는 여기에서 찾을 수 있습니다.
18,일반,브로슈어는 어디서 구할 수 있나요?,여기에서 전자 브로슈어를 다운로드할 수 있습니다.?또는 가까운 공식 리테일러를 방문할 수도 있습니다. 랜드로버는 직접 재고를 보유하지 않음을 알려드립니다.
